Gerät,Patch Date,Patch Level Status: Compliant (Last 2 Months)
ATSE-LT-ETECH27,September 2025,true
ATSE-LT-CAD110,September 2025,true
ATSE-LT-AV14,September 2025,true
ATSE-LT-NC008,August 2025,true
ATSE-CL-BDE0524,September 2025,true
ATSE-CL-SL26,September 2025,true
ATSE-CL-BDE0539,September 2025,true
ATSE-LT-TD014,September 2025,true
ATSE-LT-ETECH23,September 2025,true
ATSE-LT-MAG02,September 2025,true
ATSE-LT-EK05,September 2025,true
ATSE-LT-CO08,September 2025,true
ATSE-LT-TS08,August 2025,true
ATSE-LT-SUP03,September 2025,true
ATSE-VM-SHOW01,September 2025,true
ATSE-CL-BDE0128,September 2025,true
ATSE-LT-ETECH30,July 2025,true
ATSE-LT-PDTM05,September 2025,true
ATSE-LT-SUP12,September 2025,true
ATSE-LT-SUP11,August 2025,true
ATSE-LT-ETECH26,September 2025,true
ATSE-LT-TD14,September 2025,true
ATSE-LT-DEV05,September 2025,true
ATSE-LT-PRODM19,September 2025,true
ATSE-LT-TD16,September 2025,true
ATSE-LT-MONT225,September 2025,true
ATSE-LT-ETECH49,September 2025,true
ATSE-LT-TD25,September 2025,true
ATSE-LT-TR01,September 2025,true
ATSE-CL-BDE0535,September 2025,true
ATSE-LT-DEV27,September 2025,true
ATSE-LT-PRODM08,September 2025,true
ATSE-LT-QM06,September 2025,true
ATSE-LT-AV17,September 2025,true
ATSE-LT-ETECH15,September 2025,true
ATSE-LT-DEV92,August 2025,true
ATSE-LT-CAD112,August 2025,true
ATSE-LT-ETECH07,August 2025,true
ATSE-LT-MONT016,August 2025,true
ATSE-LT-ETECH41,August 2025,true
ATSE-LT-PDTM02,August 2025,true
ATSE-CL-BDE0009,August 2025,true
ATSE-CL-BDE0143,October 2024,false
ATSE-CL-BDE0018,September 2025,true
ATSE-CL-BDE0525,September 2025,true
ATSE-CL-BDE0505,August 2025,true
ATSE-LT-BDE0138,February 2025,false
ATSE-LT-ETECH99,September 2025,true
ATSE-LT-ETECH71,July 2025,true
ATSE-LT-EK21,August 2025,true
ATSE-CL-BDE0140,September 2025,true
ATSE-LT-ETECH17,September 2025,true
ATSE-LT-ETECH37,September 2025,true
ATSE-LT-NC007,September 2025,true
ATSE-CL-BDE0531,September 2025,true
ATSE-LT-AV09,September 2025,true
ATSE-LT-MAG62,September 2025,true
ATSE-LT-DEV06,September 2025,true
ATSE-CL-BDE0052,September 2025,true
ATSE-LT-PDTM08,August 2025,true
ATSE-LT-QM26,September 2025,true
ATSE-LT-ETECH57,August 2025,true
ATSE-LT-ETECH65,September 2025,true
ATSE-LT-CAD065,September 2025,true
